job_clean,skills,count,importance
Java Team Lead,python,21,0.03776978417266187
Java Team Lead,react,55,0.09892086330935251
Java Team Lead,spark,21,0.03776978417266187
Java Team Lead,sql,33,0.05935251798561151
Java Technical Lead,aws,2,0.125
Java Technical Lead,communication,1,0.0625
Java Technical Lead,excel,1,0.0625
Java Technical Lead,java,5,0.3125
Java Technical Lead,javascript,3,0.1875
Java Technical Lead,sql,4,0.25
Lead Automation Tester,aws,7,0.018229166666666668
Lead Automation Tester,azure,14,0.036458333333333336
Lead Automation Tester,communication,50,0.13020833333333334
Lead Automation Tester,docker,22,0.057291666666666664
Lead Automation Tester,excel,18,0.046875
Lead Automation Tester,gcp,6,0.015625
Lead Automation Tester,java,80,0.20833333333333334
Lead Automation Tester,javascript,80,0.20833333333333334
Lead Automation Tester,kubernetes,10,0.026041666666666668
Lead Automation Tester,management,12,0.03125
Lead Automation Tester,node,27,0.0703125
Lead Automation Tester,python,28,0.07291666666666667
Lead Automation Tester,react,16,0.041666666666666664
Lead Automation Tester,sql,14,0.036458333333333336
Lead Automation Tester Javascript,communication,6,0.3333333333333333
Lead Automation Tester Javascript,excel,6,0.3333333333333333
Lead Automation Tester Javascript,management,6,0.3333333333333333
Lead Automation Tester Js,communication,7,0.21875
Lead Automation Tester Js,excel,4,0.125
Lead Automation Tester Js,java,7,0.21875
Lead Automation Tester Js,javascript,7,0.21875
Lead Automation Tester Js,management,7,0.21875
Lead Business Analyst,communication,4,0.2222222222222222
Lead Business Analyst,excel,5,0.2777777777777778
Lead Business Analyst,gcp,1,0.05555555555555555
Lead Business Analyst,management,8,0.4444444444444444
Lead Consultant,aws,12,0.3333333333333333
Lead Consultant,java,12,0.3333333333333333
Lead Consultant,react,12,0.3333333333333333
ML Engineer,machine learning,36,0.5294117647058824
ML Engineer,python,32,0.47058823529411764
Manager,aws,6,0.1111111111111111
Manager,azure,4,0.07407407407407407
Manager,communication,5,0.09259259259259259
Manager,deep learning,2,0.037037037037037035
Manager,excel,5,0.09259259259259259
Manager,gcp,2,0.037037037037037035
Manager,machine learning,4,0.07407407407407407
Manager,management,6,0.1111111111111111
Manager,power bi,1,0.018518518518518517
Manager,python,5,0.09259259259259259
Manager,snowflake,2,0.037037037037037035
Manager,spark,1,0.018518518518518517
Manager,sql,5,0.09259259259259259
Manager,tableau,6,0.1111111111111111
Net Development Team Lead,aws,11,0.13580246913580246
Net Development Team Lead,azure,11,0.13580246913580246
Net Development Team Lead,communication,6,0.07407407407407407
Net Development Team Lead,docker,8,0.09876543209876543
Net Development Team Lead,java,6,0.07407407407407407
Net Development Team Lead,javascript,4,0.04938271604938271
Net Development Team Lead,kubernetes,7,0.08641975308641975
Net Development Team Lead,management,5,0.06172839506172839
Net Development Team Lead,node,2,0.024691358024691357
Net Development Team Lead,react,11,0.13580246913580246
Net Development Team Lead,sql,10,0.12345679012345678
Net Team Lead,aws,5,0.14285714285714285
Net Team Lead,azure,5,0.14285714285714285
Net Team Lead,communication,5,0.14285714285714285
Net Team Lead,docker,5,0.14285714285714285
Net Team Lead,kubernetes,5,0.14285714285714285
Net Team Lead,react,5,0.14285714285714285
Net Team Lead,sql,5,0.14285714285714285
Node Js,aws,3,0.08333333333333333
Node Js,communication,4,0.1111111111111111
Node Js,excel,4,0.1111111111111111
Node Js,java,6,0.16666666666666666
Node Js,javascript,6,0.16666666666666666
Node Js,management,1,0.027777777777777776
Node Js,node,7,0.19444444444444445
Node Js,snowflake,2,0.05555555555555555
Node Js,sql,3,0.08333333333333333
Postgre Sql,aws,2,0.14285714285714285
Postgre Sql,gcp,4,0.2857142857142857
Postgre Sql,python,2,0.14285714285714285
Postgre Sql,sql,6,0.42857142857142855
Power Bi Analyst,excel,6,0.5
Power Bi Analyst,power bi,6,0.5
Product Manager,communication,3,0.2
Product Manager,excel,4,0.26666666666666666
Product Manager,machine learning,1,0.06666666666666667
Product Manager,management,6,0.4
Product Manager,recruitment,1,0.06666666666666667
Project Manager,communication,4,0.2857142857142857
Project Manager,excel,4,0.2857142857142857
Project Manager,management,6,0.42857142857142855
Quality Analyst,communication,7,0.17073170731707318
Quality Analyst,excel,7,0.17073170731707318
Quality Analyst,java,4,0.0975609756097561
Quality Analyst,management,10,0.24390243902439024
Quality Analyst,sap,6,0.14634146341463414
Quality Analyst,sql,7,0.17073170731707318
Quality Assurance Analyst Ii T5005883,excel,5,0.3333333333333333
Quality Assurance Analyst Ii T5005883,management,5,0.3333333333333333
Quality Assurance Analyst Ii T5005883,sql,5,0.3333333333333333
Relationship Manager,communication,1,0.2
Relationship Manager,management,3,0.6
Relationship Manager,sap,1,0.2
Research Intern,communication,1,1.0
SAP,sap,81,1.0
SAP ABAP,sap,5,1.0
SAP FICO,sap,6,1.0
Sales Executive,communication,7,0.4375
Sales Executive,deep learning,1,0.0625
Sales Executive,excel,6,0.375
Sales Executive,machine learning,1,0.0625
Sales Executive,recruitment,1,0.0625
Sales Manager,communication,1,0.25
Sales Manager,excel,1,0.25
Sales Manager,management,2,0.5
Sales Specialist,communication,4,0.5714285714285714
Sales Specialist,excel,2,0.2857142857142857
Sales Specialist,management,1,0.14285714285714285
Salesforce,aws,6,0.011428571428571429
Salesforce,azure,5,0.009523809523809525
Salesforce,communication,67,0.12761904761904763
Salesforce,excel,61,0.11619047619047619
Salesforce,gcp,1,0.0019047619047619048
Salesforce,java,63,0.12
Salesforce,javascript,54,0.10285714285714286
Salesforce,machine learning,5,0.009523809523809525
Salesforce,management,50,0.09523809523809523
Salesforce,node,6,0.011428571428571429
Salesforce,power bi,4,0.007619047619047619
Salesforce,python,3,0.005714285714285714
Salesforce,react,4,0.007619047619047619
Salesforce,recruitment,1,0.0019047619047619048
Salesforce,salesforce,155,0.29523809523809524
Salesforce,sap,3,0.005714285714285714
Salesforce,sql,36,0.06857142857142857
Salesforce,tableau,1,0.0019047619047619048
Scrum Master,communication,6,0.5
Scrum Master,management,6,0.5
Search Engine Optimization Analyst,communication,8,0.34782608695652173
Search Engine Optimization Analyst,excel,6,0.2608695652173913
Search Engine Optimization Analyst,java,2,0.08695652173913043
Search Engine Optimization Analyst,javascript,1,0.043478260869565216
Search Engine Optimization Analyst,management,5,0.21739130434782608
